timestamp,price
2024-01-08 09:15:01,2608.0
2024-01-08 09:15:09,2608.0
2024-01-08 09:15:16,2608.8
2024-01-08 09:15:23,2607.4
2024-01-08 09:15:30,2607.05
2024-01-08 09:15:36,2607.05
2024-01-08 09:15:42,2608.9
2024-01-08 09:15:47,2608.8
2024-01-08 09:15:53,2611.0
2024-01-08 09:15:59,2612.95
2024-01-08 09:16:04,2613.05
2024-01-08 09:16:05,2614.45
2024-01-08 09:16:06,2613.8
2024-01-08 09:16:07,2616.55
2024-01-08 09:16:08,2615.0
2024-01-08 09:16:09,2615.05
2024-01-08 09:16:10,2615.15
2024-01-08 09:16:11,2616.55
2024-01-08 09:16:12,2616.1
2024-01-08 09:16:13,2616.95
2024-01-08 09:16:14,2616.4
2024-01-08 09:16:15,2616.75
2024-01-08 09:16:16,2617.15
2024-01-08 09:16:17,2616.0
2024-01-08 09:16:18,2618.7
2024-01-08 09:16:19,2617.45
2024-01-08 09:16:20,2619.5
2024-01-08 09:16:21,2618.6
2024-01-08 09:16:22,2618.6
2024-01-08 09:16:23,2619.5
2024-01-08 09:16:24,2619.7
2024-01-08 09:16:25,2620.1
2024-01-08 09:16:26,2620.8
2024-01-08 09:16:27,2621.0
2024-01-08 09:16:28,2621.1
2024-01-08 09:16:29,2621.6
2024-01-08 09:16:30,2621.5
2024-01-08 09:16:31,2621.0
2024-01-08 09:16:32,2621.5
2024-01-08 09:16:33,2621.0
2024-01-08 09:16:34,2621.45
2024-01-08 09:16:35,2622.25
2024-01-08 09:16:36,2621.35
2024-01-08 09:16:37,2621.35
2024-01-08 09:16:38,2621.65
2024-01-08 09:16:39,2621.65
2024-01-08 09:16:40,2622.15
2024-01-08 09:16:41,2623.1
2024-01-08 09:16:42,2623.0
2024-01-08 09:16:43,2623.05
2024-01-08 09:16:44,2623.1
2024-01-08 09:16:45,2623.8
2024-01-08 09:16:46,2623.05
2024-01-08 09:16:47,2623.05
2024-01-08 09:16:48,2623.05
2024-01-08 09:16:49,2622.1
2024-01-08 09:16:50,2621.55
2024-01-08 09:16:51,2623.95
2024-01-08 09:16:52,2622.9
2024-01-08 09:16:53,2623.0
2024-01-08 09:16:54,2622.75
2024-01-08 09:16:55,2623.0
2024-01-08 09:16:56,2623.0
2024-01-08 09:16:57,2622.7
2024-01-08 09:16:58,2623.0
2024-01-08 09:16:59,2622.7
2024-01-08 09:17:00,2622.6
2024-01-08 09:17:01,2622.65
2024-01-08 09:17:02,2622.65
2024-01-08 09:17:03,2622.25
2024-01-08 09:17:05,2623.0
2024-01-08 09:17:06,2622.9
2024-01-08 09:17:07,2623.1
2024-01-08 09:17:08,2623.15
2024-01-08 09:17:09,2624.0
2024-01-08 09:17:10,2623.25
2024-01-08 09:17:11,2623.15
